batter,bowler,balls_faced,runs_scored,dismissals,strike_rate
A Ashish Reddy,AD Mathews,12,25,0,208.33333333333334
A Ashish Reddy,DJ Bravo,13,24,1,184.6153846153846
A Badoni,AD Russell,13,22,0,169.23076923076923
A Badoni,Arshdeep Singh,12,13,1,108.33333333333333
A Badoni,Azmatullah Omarzai,12,21,0,175.0
A Badoni,CV Varun,16,18,0,112.5
A Badoni,HH Pandya,14,20,1,142.85714285714286
A Badoni,KV Sharma,12,28,0,233.33333333333334
A Badoni,Kuldeep Yadav,14,13,1,92.85714285714286
A Badoni,LH Ferguson,14,23,0,164.28571428571428
A Badoni,M Jansen,13,16,0,123.07692307692308
A Badoni,M Theekshana,18,35,0,194.44444444444443
A Badoni,MM Sharma,12,23,1,191.66666666666669
A Badoni,Mohammed Siraj,18,21,0,116.66666666666667
A Badoni,Mukesh Kumar,24,43,1,179.16666666666669
A Badoni,PWH de Silva,13,14,0,107.6923076923077
A Badoni,R Shepherd,14,29,1,207.14285714285717
A Badoni,Rashid Khan,27,28,1,103.7037037037037
A Badoni,SM Curran,14,18,1,128.57142857142858
A Badoni,SP Narine,30,30,3,100.0
A Badoni,Sandeep Sharma,12,21,0,175.0
A Badoni,T Natarajan,18,38,0,211.11111111111111
A Badoni,TA Boult,13,7,3,53.84615384615385
A Badoni,TU Deshpande,19,23,2,121.05263157894737
A Badoni,Vijaykumar Vyshak,13,38,0,292.30769230769226
A Badoni,YS Chahal,17,17,2,100.0
A Manohar,AR Patel,12,12,0,100.0
A Manohar,JJ Bumrah,12,16,0,133.33333333333331
A Manohar,Kuldeep Yadav,19,13,1,68.42105263157895
A Manohar,MJ Santner,12,5,0,41.66666666666667
A Manohar,YS Chahal,12,23,1,191.66666666666669
A Mhatre,B Kumar,12,38,0,316.66666666666663
A Mishra,AB Dinda,14,18,1,128.57142857142858
A Mishra,HV Patel,14,11,1,78.57142857142857
A Mishra,Harbhajan Singh,15,13,0,86.66666666666667
A Mishra,KV Sharma,15,6,0,40.0
A Mishra,L Balaji,14,23,0,164.28571428571428
A Mishra,MM Patel,17,32,1,188.23529411764704
A Mishra,R Ashwin,12,5,1,41.66666666666667
A Mishra,SC Ganguly,15,14,0,93.33333333333333
A Mishra,SK Trivedi,15,14,1,93.33333333333333
A Mishra,SL Malinga,14,5,2,35.714285714285715
A Mishra,SR Watson,12,7,0,58.333333333333336
A Raghuvanshi,AR Patel,12,16,0,133.33333333333331
A Raghuvanshi,KH Pandya,12,12,0,100.0
A Raghuvanshi,PWH de Silva,17,27,0,158.8235294117647
A Symonds,A Kumble,13,13,2,100.0
A Symonds,A Mishra,42,60,3,142.85714285714286
A Symonds,AB Agarkar,19,27,1,142.10526315789474
