batter,matches_played,innings_played,runs,balls_faced,dismissals,strike_rate,average,boundaries
V Kohli,259,6702,8671,6505,217,133.29746348962337,39.95852534562212,1066.0
RG Sharma,266,5475,7048,5317,235,132.55595260485237,29.99148936170213,943.0
S Dhawan,221,5483,6769,5304,187,127.6206636500754,36.19786096256684,921.0
DA Warner,184,4849,6567,4680,158,140.32051282051282,41.563291139240505,899.0
SK Raina,200,4177,5536,4025,162,137.54037267080744,34.17283950617284,710.0
MS Dhoni,241,4101,5439,3935,139,138.22109275730622,39.1294964028777,639.0
KL Rahul,135,3947,5235,3836,112,136.47028154327424,46.74107142857143,661.0
AB de Villiers,170,3487,5181,3400,122,152.3823529411765,42.467213114754095,667.0
AM Rahane,183,4133,5032,4021,160,125.14299925391694,31.45,638.0
CH Gayle,141,3516,4997,3331,125,150.01501050735516,39.976,767.0
RV Uthappa,197,3927,4954,3784,175,130.91966173361521,28.30857142857143,663.0
KD Karthik,233,3687,4843,3570,175,135.65826330532212,27.674285714285713,627.0
F du Plessis,147,3605,4773,3506,128,136.13804905875642,37.2890625,614.0
SV Samson,171,3475,4704,3368,148,139.66745843230404,31.783783783783782,598.0
AT Rayudu,185,3490,4348,3391,148,128.2217634915954,29.37837837837838,532.0
SA Yadav,151,2961,4311,2889,120,149.22118380062307,35.925,622.0
G Gambhir,151,3524,4217,3394,128,124.2486741308191,32.9453125,551.0
JC Buttler,119,2856,4121,2749,101,149.90905783921426,40.801980198019805,593.0
MK Pandey,161,3355,3951,3239,133,121.9820932386539,29.706766917293233,456.0
SR Watson,141,2892,3880,2801,124,138.5219564441271,31.29032258064516,567.0
Shubman Gill,114,2867,3866,2774,95,139.36553713049747,40.694736842105264,491.0
SS Iyer,131,2905,3735,2792,109,133.77507163323784,34.26605504587156,467.0
RR Pant,123,2504,3566,2407,102,148.15122559202328,34.96078431372549,491.0
KA Pollard,168,2447,3437,2315,120,148.46652267818575,28.641666666666666,445.0
Q de Kock,115,2533,3312,2465,106,134.36105476673427,31.245283018867923,459.0
RA Jadeja,194,2607,3260,2489,115,130.97629570108478,28.347826086956523,357.0
YK Pathan,153,2334,3222,2233,105,144.29019256605466,30.685714285714287,424.0
DA Miller,133,2295,3077,2212,84,139.10488245931282,36.63095238095238,358.0
Ishan Kishan,112,2237,2998,2169,101,138.22037805440294,29.683168316831683,422.0
WP Saha,143,2368,2934,2296,118,127.78745644599303,24.864406779661017,383.0
BB McCullum,109,2272,2882,2176,102,132.44485294117646,28.254901960784313,423.0
N Rana,112,2156,2853,2079,102,137.22943722943722,27.970588235294116,402.0
PA Patel,136,2442,2848,2350,121,121.19148936170212,23.537190082644628,414.0
GJ Maxwell,134,1896,2820,1810,114,155.8011049723757,24.736842105263158,399.0
MA Agarwal,125,2146,2764,2053,117,134.63224549439846,23.623931623931625,375.0
HH Pandya,140,1962,2758,1866,95,147.80278670953913,29.03157894736842,357.0
Yuvraj Singh,126,2207,2754,2115,107,130.2127659574468,25.738317757009344,367.0
V Sehwag,104,1833,2728,1740,95,156.7816091954023,28.71578947368421,440.0
AD Russell,114,1626,2655,1508,90,176.06100795755967,29.5,410.0
M Vijay,105,2208,2619,2147,93,121.98416394969725,28.161290322580644,338.0
RD Gaikwad,70,1863,2502,1811,60,138.15571507454445,41.7,326.0
SPD Smith,93,1999,2495,1931,70,129.20766442257897,35.642857142857146,286.0
SE Marsh,69,1913,2489,1866,62,133.38692390139335,40.145161290322584,347.0
JH Kallis,95,2291,2427,2213,83,109.6701310438319,29.240963855421686,299.0
DR Smith,88,1803,2385,1755,80,135.8974358974359,29.8125,362.0
SR Tendulkar,78,2044,2334,1941,67,120.24729520865533,34.83582089552239,325.0
N Pooran,86,1433,2293,1355,66,169.2250922509225,34.74242424242424,325.0
RA Tripathi,98,1707,2291,1655,85,138.42900302114805,26.95294117647059,314.0
R Dravid,82,1918,2174,1878,75,115.76144834930777,28.986666666666668,297.0
YBK Jaiswal,66,1454,2166,1412,62,153.39943342776203,34.935483870967744,351.0
KS Williamson,76,1734,2132,1692,58,126.0047281323877,36.758620689655174,251.0
AJ Finch,90,1696,2092,1626,82,128.65928659286593,25.51219512195122,292.0
AC Gilchrist,80,1555,2069,1483,75,139.51449763991909,27.586666666666666,331.0
JP Duminy,75,1680,2029,1631,48,124.40220723482527,42.270833333333336,205.0
MP Stoinis,99,1457,2026,1392,71,145.54597701149424,28.535211267605632,264.0
MEK Hussey,58,1648,1977,1610,49,122.79503105590062,40.3469387755102,250.0
AR Patel,123,1489,1916,1425,84,134.45614035087718,22.80952380952381,224.0
PP Shaw,79,1321,1892,1279,76,147.92806880375292,24.894736842105264,299.0
S Dube,75,1366,1859,1290,60,144.10852713178295,30.983333333333334,230.0
Abhishek Sharma,74,1167,1816,1108,66,163.89891696750902,27.515151515151516,275.0
DPMD Jayawardene,78,1522,1808,1462,59,123.66621067031464,30.64406779661017,240.0
D Padikkal,74,1496,1806,1425,70,126.73684210526315,25.8,248.0
B Sai Sudharsan,40,1279,1793,1220,35,146.9672131147541,51.22857142857143,236.0
SP Narine,118,1144,1780,1067,95,166.82286785379569,18.736842105263158,305.0
KH Pandya,114,1376,1756,1323,77,132.7286470143613,22.805194805194805,218.0
Mandeep Singh,97,1418,1706,1385,80,123.17689530685921,21.325,214.0
MK Tiwary,83,1489,1695,1444,57,117.38227146814404,29.736842105263158,196.0
KK Nair,76,1314,1694,1283,68,132.03429462197974,24.91176470588235,234.0
KC Sangakkara,68,1424,1687,1385,65,121.80505415162455,25.953846153846154,222.0
JM Bairstow,52,1181,1674,1142,47,146.58493870402802,35.61702127659574,247.0
R Parag,72,1156,1570,1101,58,142.59763851044505,27.06896551724138,199.0
DJ Bravo,110,1247,1560,1196,68,130.43478260869566,22.941176470588236,186.0
NV Ojha,94,1360,1554,1308,72,118.80733944954129,21.583333333333332,200.0
Tilak Varma,51,1089,1499,1032,38,145.25193798449612,39.44736842105263,187.0
DJ Hooda,101,1213,1497,1167,79,128.2776349614396,18.949367088607595,160.0
SS Tiwary,73,1291,1494,1235,49,120.97165991902834,30.489795918367346,161.0
SO Hetmyer,78,1036,1488,975,50,152.6153846153846,29.76,187.0
H Klaasen,45,907,1480,863,36,171.49478563151797,41.111111111111114,187.0
VR Iyer,56,1107,1468,1068,49,137.45318352059925,29.959183673469386,201.0
S Badrinath,65,1245,1441,1208,46,119.28807947019868,31.32608695652174,182.0
AK Markram,55,1093,1440,1062,46,135.59322033898303,31.304347826086957,168.0
EJG Morgan,74,1181,1406,1147,59,122.58064516129032,23.83050847457627,176.0
BJ Hodge,63,1153,1400,1112,41,125.89928057553956,34.146341463414636,165.0
P Simran Singh,52,904,1355,884,50,153.28054298642536,27.1,212.0
SC Ganguly,56,1326,1349,1257,52,107.31901352426412,25.942307692307693,179.0
CA Lynn,42,974,1329,941,38,141.2327311370882,34.973684210526315,198.0
DJ Hussey,61,1101,1322,1070,46,123.55140186915887,28.73913043478261,150.0
MR Marsh,49,933,1292,902,44,143.23725055432374,29.363636363636363,179.0
V Shankar,63,985,1233,947,46,130.20063357972543,26.804347826086957,136.0
KM Jadhav,81,1012,1208,969,51,124.66460268317854,23.686274509803923,142.0
MM Ali,59,865,1167,831,51,140.4332129963899,22.88235294117647,162.0
