bowler,matches_played,balls_bowled,runs_conceded,wickets,overs,economy,average,strike_rate
A Ashish Reddy,20,262,396,18,43.666666666666664,9.068702290076336,22.0,14.555555555555555
A Chandila,12,234,242,11,39.0,6.205128205128205,22.0,21.272727272727273
A Kamboj,11,189,286,10,31.5,9.079365079365079,28.6,18.9
A Kumble,42,965,1058,45,160.83333333333334,6.578238341968912,23.511111111111113,21.444444444444443
A Mishra,162,3371,4145,174,561.8333333333334,7.377632749925837,23.82183908045977,19.373563218390803
A Mithun,16,288,472,7,48.0,9.833333333333334,67.42857142857143,41.142857142857146
A Nehra,88,1908,2495,106,318.0,7.845911949685535,23.537735849056602,18.0
A Nortje,48,1096,1657,61,182.66666666666666,9.071167883211679,27.16393442622951,17.9672131147541
A Singh,23,473,620,28,78.83333333333333,7.864693446088795,22.142857142857142,16.892857142857142
A Symonds,30,527,674,20,87.83333333333333,7.673624288425048,33.7,26.35
A Zampa,22,467,652,31,77.83333333333333,8.376873661670237,21.032258064516128,15.064516129032258
AA Chavan,13,248,326,8,41.333333333333336,7.887096774193548,40.75,31.0
AB Agarkar,42,782,1151,29,130.33333333333334,8.831202046035806,39.689655172413794,26.96551724137931
AB Dinda,75,1516,2073,69,252.66666666666666,8.20448548812665,30.043478260869566,21.971014492753625
AB McDonald,10,186,261,11,31.0,8.419354838709678,23.727272727272727,16.90909090909091
AC Thomas,15,315,406,14,52.5,7.733333333333333,29.0,22.5
AD Mascarenhas,13,308,356,19,51.333333333333336,6.9350649350649345,18.736842105263158,16.210526315789473
AD Mathews,44,791,1079,27,131.83333333333334,8.18457648546144,39.96296296296296,29.296296296296298
AD Russell,121,1806,2863,123,301.0,9.511627906976743,23.276422764227643,14.682926829268293
AF Milne,10,207,327,7,34.5,9.478260869565217,46.714285714285715,29.571428571428573
AG Murtaza,12,264,313,9,44.0,7.113636363636363,34.77777777777778,29.333333333333332
AJ Tye,30,684,979,42,114.0,8.587719298245615,23.30952380952381,16.285714285714285
AK Markram,19,187,274,6,31.166666666666668,8.79144385026738,45.666666666666664,31.166666666666668
AM Nayar,19,229,322,9,38.166666666666664,8.436681222707424,35.77777777777778,25.444444444444443
AM Salvi,7,150,200,7,25.0,8.0,28.571428571428573,21.428571428571427
